id,store,customer_type,gender,product_class,qty,total,date,time,pay_method,rating,subtotal,unit_price
636-48-8204,A,Normal,Male,Electronic accessories,5,181.44,2019-02-17,11:15:00,Ewallet,9.9,172.79999999999998,34.559999999999995
549-59-1358,A,Member,Male,Sports and travel,3,279.1845,2019-03-02,17:36:00,Ewallet,6,265.89,88.63
227-03-5010,A,Member,Female,Home and lifestyle,8,441.756,2019-03-22,19:20:00,Credit card,8.5,420.71999999999997,52.589999999999996
649-29-6775,B,Normal,Male,Fashion accessories,1,35.196,2019-02-08,15:31:00,Cash,6.7,33.519999999999996,33.519999999999996
189-17-4241,A,Normal,Female,Fashion accessories,2,184.107,2019-03-10,12:17:00,Credit card,7.7,175.34,87.67
145-94-9061,B,Normal,Female,Food and beverages,5,463.89,2019-01-25,19:48:00,Cash,9.6,441.79999999999995,88.35999999999999
848-62-7243,A,Normal,Male,Health and beauty,9,235.2105,2019-03-15,15:36:00,Cash,7.4,224.01,24.89
871-79-8483,B,Normal,Male,Fashion accessories,5,494.1825,2019-02-25,19:39:00,Credit card,4.8,470.65,94.13
149-71-6266,B,Member,Male,Sports and travel,9,737.7615,2019-01-28,12:43:00,Cash,4.5,702.6299999999999,78.07
640-49-2076,B,Normal,Male,Sports and travel,8,703.752,2019-01-10,14:49:00,Cash,5.1,670.2399999999999,83.77999999999999
595-11-5460,A,Normal,Male,Health and beauty,2,202.818,2019-03-15,10:12:00,Credit card,5.1,193.16,96.58
183-56-6882,C,Member,Female,Food and beverages,4,417.564,2019-02-06,10:42:00,Ewallet,7.5,397.68,99.42
232-16-2483,C,Member,Female,Sports and travel,1,71.526,2019-01-07,12:28:00,Ewallet,6.8,68.11999999999999,68.11999999999999
129-29-8530,A,Member,Male,Sports and travel,5,328.755,2019-03-10,19:15:00,Ewallet,7,313.09999999999997,62.61999999999999
272-65-1806,A,Normal,Female,Electronic accessories,9,575.316,2019-01-15,17:17:00,Ewallet,4.7,547.92,60.879999999999995
333-73-7901,C,Normal,Female,Health and beauty,8,461.328,2019-03-23,13:24:00,Ewallet,7.6,439.35999999999996,54.919999999999995
777-82-7220,B,Member,Male,Home and lifestyle,8,253.008,2019-03-03,13:01:00,Cash,7.7,240.96,30.12
280-35-5823,B,Member,Female,Home and lifestyle,1,91.056,2019-01-17,18:45:00,Ewallet,7.9,86.72,86.72
554-53-8700,C,Member,Male,Home and lifestyle,2,117.831,2019-02-02,10:11:00,Cash,6.3,112.22,56.11
354-25-5821,B,Member,Female,Sports and travel,6,435.456,2019-02-08,13:03:00,Cash,5.6,414.72,69.12
228-96-1411,C,Member,Female,Food and beverages,8,829.08,2019-03-04,20:39:00,Cash,7.6,789.6,98.7
617-15-4209,C,Member,Male,Health and beauty,2,32.277,2019-03-16,19:47:00,Cash,7.2,30.74,15.37
132-32-9879,B,Member,Female,Electronic accessories,4,394.632,2019-03-09,18:00:00,Cash,9.5,375.84,93.96
370-41-7321,B,Member,Male,Health and beauty,9,535.7205,2019-02-27,17:24:00,Credit card,8.4,510.21,56.69
727-46-3608,B,Member,Female,Food and beverages,9,189.0945,2019-02-06,15:47:00,Ewallet,4.1,180.09,20.01
669-54-1719,B,Member,Male,Electronic accessories,6,119.259,2019-02-10,12:45:00,Credit card,8.1,113.58,18.93
574-22-5561,C,Member,Female,Fashion accessories,10,867.615,2019-03-19,17:08:00,Ewallet,7.9,826.3,82.63
326-78-5178,C,Member,Male,Food and beverages,7,671.79,2019-02-03,10:19:00,Cash,9.5,639.8,91.39999999999999
162-48-8011,A,Member,Female,Food and beverages,5,234.0975,2019-02-10,15:10:00,Cash,8.5,222.95,44.589999999999996
616-24-2851,B,Member,Female,Fashion accessories,4,75.054,2019-03-22,14:42:00,Ewallet,6.5,71.48,17.87
778-71-5554,C,Member,Male,Fashion accessories,1,16.2015,2019-01-25,15:46:00,Credit card,6.1,15.429999999999998,15.429999999999998
242-55-6721,B,Normal,Male,Home and lifestyle,2,33.936,2019-03-07,11:49:00,Ewallet,6.5,32.32,16.16
399-46-5918,C,Normal,Female,Electronic accessories,8,722.232,2019-02-28,19:01:00,Cash,8.2,687.8399999999999,85.97999999999999
106-35-6779,A,Member,Male,Home and lifestyle,2,93.114,2019-03-27,11:26:00,Cash,5.8,88.68,44.34
635-40-6220,A,Normal,Male,Health and beauty,8,752.64,2019-02-07,11:28:00,Ewallet,6.6,716.8,89.6
817-48-8732,A,Member,Female,Home and lifestyle,10,759.675,2019-01-20,15:55:00,Cash,5.4,723.4999999999999,72.35
120-06-4233,C,Normal,Male,Electronic accessories,6,192.843,2019-03-12,20:36:00,Cash,9.3,183.65999999999997,30.609999999999996
285-68-5083,C,Member,Female,Sports and travel,3,77.931,2019-02-15,17:47:00,Credit card,10,74.22,24.74
803-83-5989,C,Normal,Male,Home and lifestyle,6,351.099,2019-02-24,10:55:00,Ewallet,7,334.38,55.73
347-34-2234,B,Member,Female,Sports and travel,9,520.4115,2019-02-03,13:40:00,Ewallet,10,495.63,55.07
199-75-8169,A,Member,Male,Sports and travel,10,166.005,2019-03-06,12:27:00,Credit card,8.6,158.1,15.809999999999999
853-23-2453,B,Member,Male,Health and beauty,4,318.108,2019-02-14,14:35:00,Cash,7.6,302.96,75.74
877-22-3308,A,Member,Male,Health and beauty,10,166.635,2019-03-13,16:40:00,Cash,5.8,158.7,15.87
838-78-4295,C,Normal,Female,Health and beauty,2,70.287,2019-02-10,15:43:00,Ewallet,6.7,66.94,33.47
109-28-2512,B,Member,Female,Fashion accessories,6,614.943,2019-01-07,15:01:00,Ewallet,9.9,585.66,97.61
232-11-3025,A,Normal,Male,Sports and travel,10,827.085,2019-01-24,10:04:00,Cash,6.4,787.7,78.77000000000001
382-03-4532,A,Member,Female,Health and beauty,1,19.2465,2019-02-02,18:50:00,Cash,4.3,18.330000000000002,18.330000000000002
393-65-2792,C,Normal,Male,Food and beverages,10,939.54,2019-01-06,12:46:00,Credit card,9.6,894.8,89.47999999999999
796-12-2025,C,Normal,Male,Fashion accessories,10,652.26,2019-02-11,16:19:00,Cash,5.9,621.1999999999999,62.11999999999999
510-95-6347,B,Member,Female,Food and beverages,3,152.838,2019-03-05,18:17:00,Ewallet,4,145.55999999999997,48.51999999999999
841-35-6630,C,Normal,Female,Electronic accessories,6,478.233,2019-03-09,18:21:00,Cash,8.7,455.46,75.91
287-21-9091,A,Normal,Male,Home and lifestyle,9,705.6315,2019-01-22,10:55:00,Ewallet,9.4,672.03,74.67
732-94-0499,C,Normal,Female,Electronic accessories,10,437.325,2019-01-13,17:04:00,Credit card,5.4,416.49999999999994,41.64999999999999
263-10-3913,C,Member,Male,Fashion accessories,9,463.428,2019-01-09,14:20:00,Credit card,8.6,441.35999999999996,49.03999999999999
381-20-0914,A,Member,Female,Fashion accessories,9,189.0945,2019-01-12,15:48:00,Credit card,5.7,180.09,20.01
829-49-1914,C,Member,Female,Food and beverages,10,822.255,2019-03-05,16:24:00,Ewallet,6.6,783.0999999999999,78.30999999999999
756-01-7507,C,Normal,Female,Health and beauty,5,106.995,2019-01-22,18:56:00,Cash,6,101.9,20.380000000000003
870-72-4431,C,Normal,Female,Health and beauty,6,624.897,2019-01-21,14:42:00,Credit card,5.5,595.14,99.19
847-38-7188,B,Normal,Female,Food and beverages,3,304.542,2019-01-26,19:56:00,Ewallet,6.4,290.03999999999996,96.67999999999999
480-63-2856,C,Normal,Male,Food and beverages,8,161.7,2019-01-23,18:37:00,Ewallet,6.6,153.99999999999997,19.249999999999996
787-56-0757,C,Member,Female,Food and beverages,4,337.512,2019-02-23,18:45:00,Credit card,8.3,321.44,80.36
360-39-5055,C,Member,Male,Sports and travel,5,256.7775,2019-03-09,10:17:00,Cash,6.6,244.54999999999995,48.90999999999999
730-50-9884,C,Normal,Female,Sports and travel,7,610.491,2019-03-05,14:31:00,Ewallet,4,581.42,83.05999999999999
362-58-8315,C,Normal,Male,Fashion accessories,5,401.73,2019-03-25,10:23:00,Cash,9.9,382.6,76.52000000000001
633-44-8566,A,Member,Male,Food and beverages,7,362.943,2019-03-27,20:35:00,Credit card,7.3,345.65999999999997,49.379999999999995
504-35-8843,A,Normal,Male,Sports and travel,1,44.5935,2019-01-02,16:57:00,Cash,5.7,42.47,42.47
318-68-5053,B,Normal,Female,Health and beauty,6,485.037,2019-02-27,17:55:00,Cash,6.1,461.93999999999994,76.99
565-80-5980,C,Member,Female,Home and lifestyle,4,198.996,2019-01-23,10:25:00,Cash,7.1,189.52,47.38
225-32-0908,C,Normal,Female,Sports and travel,10,471.03,2019-01-26,19:54:00,Ewallet,8.2,448.59999999999997,44.86
873-51-0671,A,Member,Female,Sports and travel,7,161.553,2019-01-10,16:42:00,Ewallet,5.1,153.85999999999999,21.979999999999997
152-08-9985,B,Member,Male,Health and beauty,9,608.202,2019-03-12,12:09:00,Credit card,8.6,579.24,64.36
512-91-0811,C,Normal,Male,Health and beauty,1,94.2375,2019-02-06,20:05:00,Credit card,6.6,89.75,89.75
594-34-4444,A,Normal,Male,Electronic accessories,1,102.018,2019-03-08,20:38:00,Ewallet,7.2,97.16,97.16
766-85-7061,B,Normal,Male,Health and beauty,10,922.635,2019-03-29,10:25:00,Ewallet,5.1,878.6999999999999,87.86999999999999
871-39-9221,C,Normal,Female,Electronic accessories,6,78.435,2019-02-09,13:11:00,Cash,4.1,74.7,12.450000000000001
865-92-6136,A,Normal,Male,Food and beverages,3,166.1625,2019-03-23,10:16:00,Ewallet,9.3,158.25,52.75
733-01-9107,B,Normal,Male,Home and lifestyle,6,521.01,2019-03-05,18:14:00,Cash,7.4,496.2,82.7
163-56-7055,C,Member,Male,Fashion accessories,1,51.1455,2019-03-26,19:20:00,Cash,4.1,48.709999999999994,48.709999999999994
189-98-2939,C,Normal,Male,Fashion accessories,9,742.2975,2019-03-01,13:22:00,Cash,7.2,706.9499999999999,78.55
551-21-3069,C,Normal,Female,Electronic accessories,9,218.0115,2019-02-01,11:27:00,Cash,4.9,207.63,23.07
212-62-1842,A,Normal,Male,Food and beverages,6,367.038,2019-03-28,16:44:00,Cash,9.9,349.56,58.26
716-39-1409,B,Normal,Male,Health and beauty,7,223.0725,2019-03-19,18:19:00,Cash,8,212.45,30.349999999999998
704-48-3927,A,Member,Male,Electronic accessories,10,931.035,2019-01-12,14:50:00,Ewallet,7.3,886.6999999999999,88.66999999999999
628-34-3388,C,Normal,Male,Fashion accessories,6,172.494,2019-01-05,20:54:00,Credit card,7.9,164.28,27.38
630-74-5166,A,Normal,Male,Sports and travel,6,391.419,2019-03-22,20:19:00,Cash,7.4,372.78,62.129999999999995
588-01-7461,C,Normal,Female,Food and beverages,9,321.111,2019-03-24,10:43:00,Cash,4.2,305.82,33.98
861-77-0145,C,Member,Male,Electronic accessories,10,860.685,2019-03-03,14:30:00,Cash,9.2,819.6999999999999,81.97
479-26-8945,B,Member,Female,Sports and travel,2,34.629,2019-02-05,11:32:00,Ewallet,4.6,32.98,16.49
210-67-5886,C,Member,Female,Health and beauty,3,309.3615,2019-02-05,10:41:00,Credit card,7.8,294.62999999999994,98.20999999999998
227-78-1148,B,Normal,Female,Fashion accessories,7,535.374,2019-02-15,12:44:00,Cash,8.4,509.88,72.84
645-44-1170,A,Member,Male,Home and lifestyle,9,548.7615,2019-01-19,20:07:00,Ewallet,4.3,522.6299999999999,58.069999999999986
237-01-6122,C,Member,Female,Home and lifestyle,9,763.4655,2019-02-01,20:31:00,Credit card,9.5,727.11,80.79
225-98-1496,C,Normal,Female,Fashion accessories,3,85.113,2019-03-02,13:01:00,Credit card,7.1,81.06,27.02
291-32-1427,B,Member,Male,Fashion accessories,5,115.185,2019-03-05,12:29:00,Ewallet,5.3,109.7,21.94
659-65-8956,B,Member,Male,Fashion accessories,1,53.928,2019-01-16,15:26:00,Ewallet,5.2,51.35999999999999,51.35999999999999
642-32-2990,A,Normal,Female,Food and beverages,10,115.08,2019-02-02,20:48:00,Ewallet,6,109.6,10.959999999999999
378-24-2715,B,Normal,Male,Home and lifestyle,2,112.224,2019-01-20,20:38:00,Ewallet,4.1,106.88,53.44
638-60-7125,A,Normal,Female,Electronic accessories,8,836.304,2019-02-14,17:03:00,Credit card,5.2,796.4799999999999,99.55999999999999
659-36-1684,C,Member,Male,Sports and travel,7,419.832,2019-01-12,12:02:00,Credit card,6.5,399.84,57.12
219-22-9386,B,Member,Male,Sports and travel,9,944.622,2019-03-09,17:26:00,Credit card,4.2,899.6399999999999,99.95999999999998
336-78-2147,C,Member,Male,Home and lifestyle,8,536.844,2019-03-13,19:52:00,Credit card,4.6,511.28000000000003,63.910000000000004
268-27-6179,B,Member,Female,Fashion accessories,8,474.348,2019-03-09,14:57:00,Ewallet,7.3,451.76,56.47
668-90-8900,A,Normal,Female,Home and lifestyle,7,688.6215,2019-03-10,18:44:00,Credit card,4.5,655.8299999999999,93.68999999999998
870-54-3162,A,Normal,Female,Sports and travel,5,169.3125,2019-01-27,13:26:00,Cash,9,161.25,32.25
189-08-9157,C,Normal,Female,Fashion accessories,9,299.8485,2019-01-08,16:17:00,Credit card,5.9,285.57,31.73
663-86-9076,C,Member,Female,Food and beverages,8,575.736,2019-01-08,15:57:00,Ewallet,8.5,548.3199999999999,68.53999999999999
549-84-7482,B,Normal,Female,Sports and travel,9,853.146,2019-02-08,11:15:00,Ewallet,7.2,812.52,90.28
191-10-6171,B,Normal,Female,Fashion accessories,7,291.207,2019-01-25,13:18:00,Cash,7.5,277.34,39.62
802-70-5316,A,Member,Female,Sports and travel,6,580.419,2019-03-06,20:34:00,Cash,8.3,552.78,92.13
695-51-0018,B,Normal,Female,Sports and travel,4,146.328,2019-02-10,18:36:00,Cash,7.4,139.35999999999999,34.839999999999996
590-83-4591,B,Member,Male,Electronic accessories,6,550.935,2019-02-17,14:40:00,Credit card,8.8,524.6999999999999,87.44999999999999
483-71-1164,C,Normal,Female,Health and beauty,6,512.19,2019-03-08,16:43:00,Ewallet,5.3,487.8,81.3
597-78-7908,C,Normal,Male,Fashion accessories,3,284.193,2019-02-18,19:39:00,Cash,6.2,270.65999999999997,90.21999999999998
700-81-1757,A,Normal,Female,Electronic accessories,5,138.1275,2019-01-18,20:59:00,Credit card,8.8,131.54999999999998,26.309999999999995
354-39-5160,A,Member,Female,Home and lifestyle,6,216.846,2019-02-18,15:39:00,Cash,9.8,206.51999999999998,34.419999999999995
241-72-9525,B,Normal,Male,Sports and travel,10,545.055,2019-02-16,12:21:00,Cash,8.2,519.0999999999999,51.90999999999999
575-30-8091,A,Normal,Male,Sports and travel,8,609,2019-03-16,19:25:00,Ewallet,9.2,580,72.5
731-81-9469,C,Member,Female,Sports and travel,10,942.9,2019-01-23,13:00:00,Credit card,5.4,897.9999999999999,89.79999999999998
280-17-4359,C,Member,Male,Health and beauty,10,950.25,2019-01-25,13:48:00,Cash,8.1,905,90.5
338-65-2210,C,Member,Female,Health and beauty,10,720.3,2019-02-05,19:57:00,Cash,9.1,685.9999999999999,68.6
488-25-4221,C,Member,Female,Food and beverages,1,31.9305,2019-02-22,10:36:00,Credit card,8.4,30.409999999999997,30.409999999999997
239-10-7476,A,Normal,Female,Home and lifestyle,6,491.085,2019-01-21,16:37:00,Ewallet,8,467.7,77.95
458-41-1477,C,Normal,Female,Health and beauty,6,291.438,2019-03-08,17:11:00,Credit card,9.5,277.56,46.26
685-64-1609,A,Member,Female,Fashion accessories,10,316.47,2019-02-10,12:28:00,Ewallet,9.2,301.40000000000003,30.140000000000004
568-90-5112,C,Normal,Male,Health and beauty,4,277.788,2019-03-19,12:46:00,Credit card,5.6,264.56,66.14
262-47-2794,B,Member,Male,Home and lifestyle,8,603.624,2019-03-06,15:07:00,Credit card,6.2,574.88,71.86
238-49-0436,A,Normal,Male,Health and beauty,8,272.664,2019-03-27,13:48:00,Credit card,4.9,259.67999999999995,32.459999999999994
608-96-3517,B,Member,Female,Fashion accessories,4,384.468,2019-03-23,19:20:00,Credit card,4.8,366.16,91.54
584-86-7256,C,Member,Male,Sports and travel,7,254.016,2019-03-11,16:07:00,Credit card,7.3,241.92,34.559999999999995
746-94-0204,A,Normal,Male,Fashion accessories,9,786.618,2019-01-29,11:56:00,Credit card,7.4,749.16,83.24
214-17-6927,C,Normal,Female,Food and beverages,6,103.824,2019-02-07,18:23:00,Ewallet,9.9,98.88,16.48
400-89-4171,C,Normal,Female,Sports and travel,8,680.148,2019-01-28,13:05:00,Cash,9.3,647.76,80.97
782-95-9291,A,Member,Male,Food and beverages,5,484.5225,2019-02-20,15:55:00,Credit card,9,461.45,92.28999999999999
279-74-2924,B,Member,Male,Electronic accessories,1,75.7785,2019-01-04,19:40:00,Cash,6.1,72.16999999999999,72.16999999999999
307-85-2293,B,Normal,Male,Home and lifestyle,5,263.97,2019-03-07,13:58:00,Ewallet,9.7,251.4,50.28
743-04-1105,B,Member,Male,Health and beauty,9,918.729,2019-03-30,14:43:00,Ewallet,6,874.98,97.22
423-57-2993,B,Normal,Male,Sports and travel,6,588.357,2019-03-27,19:18:00,Ewallet,10,560.3399999999999,93.38999999999999
894-41-5205,C,Normal,Female,Food and beverages,8,362.712,2019-01-19,19:39:00,Credit card,8.3,345.44,43.18
275-28-0149,A,Normal,Male,Sports and travel,1,66.8745,2019-02-25,16:21:00,Cash,6,63.69,63.69
101-17-6199,A,Normal,Male,Food and beverages,7,336.5565,2019-03-13,19:44:00,Credit card,7,320.53000000000003,45.790000000000006
423-80-0988,C,Normal,Male,Sports and travel,2,160.44,2019-01-30,19:42:00,Ewallet,6.5,152.79999999999998,76.39999999999999
548-46-9322,B,Normal,Male,Food and beverages,10,418.95,2019-02-20,15:24:00,Credit card,5.9,399,39.9
505-02-0892,B,Member,Male,Health and beauty,8,357.588,2019-02-25,14:12:00,Ewallet,5.6,340.56,42.57
234-65-2137,C,Normal,Male,Home and lifestyle,10,1003.59,2019-01-16,13:32:00,Cash,4.8,955.8,95.58
687-47-8271,A,Normal,Male,Fashion accessories,10,1039.29,2019-02-08,16:20:00,Credit card,8.7,989.8,98.97999999999999
796-32-9050,A,Normal,Male,Food and beverages,6,323.064,2019-01-19,16:31:00,Cash,6.5,307.68,51.28
105-31-1824,A,Member,Male,Sports and travel,7,510.972,2019-02-01,15:10:00,Credit card,8.5,486.64,69.52
249-42-3782,A,Normal,Male,Health and beauty,5,367.5525,2019-01-03,11:36:00,Ewallet,5.5,350.05,70.01
316-55-4634,B,Member,Male,Food and beverages,5,420.2625,2019-01-26,12:45:00,Credit card,9.4,400.25,80.05
733-33-4967,C,Normal,Male,Electronic accessories,8,175.14,2019-03-03,19:17:00,Cash,6.3,166.79999999999998,20.849999999999998
608-27-6295,B,Member,Male,Electronic accessories,6,333.207,2019-01-19,17:34:00,Credit card,9.8,317.34,52.88999999999999
414-12-7047,B,Normal,Male,Food and beverages,8,166.236,2019-01-18,12:04:00,Ewallet,8.7,158.32,19.79
827-26-2100,A,Member,Male,Home and lifestyle,9,319.788,2019-03-21,16:21:00,Ewallet,8.8,304.56,33.84
175-54-2529,A,Member,Male,Food and beverages,8,186.228,2019-03-03,17:01:00,Credit card,9.6,177.36,22.17
139-52-2867,C,Normal,Female,Fashion accessories,7,165.4485,2019-02-13,10:50:00,Credit card,4.8,157.57,22.509999999999998
407-63-8975,A,Normal,Male,Food and beverages,6,465.444,2019-03-23,19:16:00,Ewallet,4.4,443.28,73.88
342-65-4817,C,Member,Male,Health and beauty,3,273.42,2019-01-28,16:47:00,Ewallet,9.9,260.4,86.8
130-98-8941,C,Normal,Male,Fashion accessories,7,472.311,2019-02-09,10:00:00,Cash,5.7,449.81999999999994,64.25999999999999
434-83-9547,C,Member,Male,Food and beverages,8,323.148,2019-01-23,11:51:00,Cash,7.7,307.76,38.47
851-28-6367,A,Member,Male,Sports and travel,10,162.75,2019-03-23,10:55:00,Ewallet,8,155,15.5
824-88-3614,C,Normal,Male,Health and beauty,8,288.204,2019-01-25,15:00:00,Ewallet,5.7,274.48,34.31
586-25-0848,A,Normal,Female,Sports and travel,7,90.699,2019-03-04,11:19:00,Credit card,6.7,86.38,12.34
895-66-0685,B,Member,Male,Food and beverages,3,56.952,2019-03-05,19:46:00,Ewallet,8,54.239999999999995,18.08
305-14-0245,B,Member,Female,Home and lifestyle,8,793.716,2019-03-03,19:00:00,Ewallet,7.5,755.92,94.49
732-04-5373,B,Member,Male,Home and lifestyle,4,195.174,2019-02-08,10:53:00,Cash,7,185.88,46.47
400-60-7251,A,Normal,Male,Home and lifestyle,1,77.7735,2019-02-10,12:50:00,Ewallet,9.9,74.07,74.07
593-65-1552,C,Normal,Female,Home and lifestyle,4,293.202,2019-01-28,20:50:00,Credit card,5.9,279.24,69.81
284-34-9626,B,Normal,Female,Home and lifestyle,3,242.676,2019-02-11,10:39:00,Credit card,7.2,231.11999999999998,77.03999999999999
437-58-8131,B,Normal,Female,Fashion accessories,2,154.392,2019-01-15,13:41:00,Ewallet,4.6,147.04,73.52
286-43-6208,C,Normal,Female,Food and beverages,9,829.71,2019-03-16,19:08:00,Cash,9.2,790.2,87.80000000000001
641-43-2399,B,Normal,Male,Home and lifestyle,4,107.31,2019-01-26,20:23:00,Ewallet,5.7,102.2,25.55
831-07-6050,A,Normal,Male,Electronic accessories,5,171.7275,2019-03-19,11:30:00,Credit card,9.9,163.54999999999998,32.709999999999994
556-86-3144,C,Member,Female,Fashion accessories,1,78.0045,2019-01-13,19:30:00,Cash,5,74.28999999999999,74.28999999999999
848-24-9445,C,Member,Male,Health and beauty,2,91.77,2019-03-26,18:03:00,Cash,4.9,87.39999999999999,43.699999999999996
856-22-8149,A,Normal,Female,Home and lifestyle,1,26.5545,2019-03-23,10:13:00,Ewallet,6.1,25.29,25.29
699-01-4164,C,Normal,Male,Health and beauty,4,174.3,2019-03-12,19:58:00,Credit card,8.2,166,41.5
420-11-4919,C,Member,Female,Food and beverages,5,374.7975,2019-02-17,19:57:00,Credit card,5.5,356.95,71.39
606-80-4905,C,Member,Female,Sports and travel,6,120.645,2019-01-29,10:01:00,Credit card,6.8,114.89999999999999,19.15
542-41-0513,B,Member,Female,Electronic accessories,4,241.458,2019-03-15,11:57:00,Cash,6.6,229.95999999999998,57.489999999999995
426-39-2418,C,Normal,Male,Electronic accessories,7,451.3635,2019-01-14,10:02:00,Cash,9.8,429.86999999999995,61.40999999999999
875-46-5808,B,Member,Male,Health and beauty,10,271.95,2019-02-06,14:51:00,Ewallet,8.7,259,25.9
394-43-4238,B,Member,Male,Home and lifestyle,5,93.2925,2019-02-15,12:42:00,Credit card,5.4,88.85,17.77
749-24-1565,A,Normal,Female,Health and beauty,9,217.6335,2019-01-03,12:02:00,Ewallet,7.9,207.26999999999998,23.029999999999998
672-51-8681,C,Member,Female,Electronic accessories,9,629.8425,2019-01-04,18:19:00,Credit card,9.7,599.8499999999999,66.64999999999999
263-87-5680,C,Member,Female,Home and lifestyle,10,299.565,2019-03-18,17:38:00,Ewallet,7.8,285.3,28.53
573-58-9734,B,Normal,Female,Fashion accessories,3,95.6655,2019-03-28,13:41:00,Ewallet,5.1,91.10999999999999,30.369999999999994
817-69-8206,B,Normal,Female,Electronic accessories,9,942.4485,2019-03-02,19:42:00,Credit card,6.5,897.5699999999999,99.72999999999999
888-02-0338,A,Normal,Male,Electronic accessories,9,247.8735,2019-01-25,20:24:00,Ewallet,5.9,236.07,26.23
677-11-0152,C,Normal,Female,Food and beverages,9,881.307,2019-01-16,18:08:00,Cash,8.8,839.34,93.26
142-63-6033,B,Normal,Male,Home and lifestyle,5,484.89,2019-03-20,19:17:00,Ewallet,4.9,461.79999999999995,92.35999999999999
656-16-1063,B,Normal,Male,Sports and travel,3,146.223,2019-01-04,13:24:00,Credit card,4.4,139.26000000000002,46.42000000000001
891-58-8335,B,Member,Female,Sports and travel,7,217.6335,2019-03-11,15:53:00,Cash,6.5,207.26999999999998,29.609999999999996
802-43-8934,A,Normal,Male,Home and lifestyle,1,19.194,2019-03-22,15:05:00,Credit card,8.3,18.279999999999998,18.279999999999998
560-30-5617,B,Normal,Female,Sports and travel,5,130.0425,2019-03-24,18:27:00,Cash,8.5,123.84999999999998,24.769999999999996
319-74-2561,A,Member,Female,Electronic accessories,3,298.116,2019-02-21,16:55:00,Cash,5.5,283.91999999999996,94.63999999999999
549-03-9315,B,Normal,Male,Fashion accessories,8,796.908,2019-02-12,12:58:00,Ewallet,8.7,758.96,94.87
790-29-1172,B,Normal,Female,Food and beverages,3,180.621,2019-03-10,18:59:00,Credit card,7.9,172.02,57.34
239-36-3640,B,Normal,Male,Electronic accessories,6,285.705,2019-01-31,13:44:00,Ewallet,6.1,272.09999999999997,45.349999999999994
468-01-2051,B,Normal,Male,Food and beverages,7,456.288,2019-03-06,13:46:00,Ewallet,5.4,434.56,62.08
